País,¿Cuántas solicitudes de TCs reciben por semana?,¿Qué tipos de solicitudes reciben con mayor frecuencia?
PE,Entre 4 a 5 por semana (cuando hay fiestas o días festivos o cualquier evento suelen aumentarse),"En el siguiente orden: Cupones, descuentos, concursos y cashback."
CL,Entre 4 y 5 por semana,"Cashback, descuentos, cupones y concursos."
EC,"1 por semana (trabajan de forma unificada, el comercial envía sólo una vez todos los descuentos que tiene disponibles)","Cashback, descuentos y concursos."
BR,3 a 6 solicitudes por semana,"descuentos, cashback y cupones"
AR,4 a 5 solicitudes por semana,cashback y descuentos con bancos
MX,10 solicitudes por semana,Concursos de carreras de compras es la mayoría
